timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1569427980399,21863,LifeChargerAbout,200,OK,Users 1-12,text,true,,36990,249,8,8,http://lifecharger.org/about/,12925,0,275
1569427980399,12925,LifeChargerAbout-0,301,Moved Permanently,Users 1-12,text,true,,952,124,8,8,http://lifecharger.org/about,12925,0,275
1569427993324,8938,LifeChargerAbout-1,200,OK,Users 1-12,text,true,,36038,125,8,8,http://lifecharger.org/about/,8063,0,267
1569427985382,16952,LifeChargerAbout,200,OK,Users 1-18,text,true,,36989,249,7,7,http://lifecharger.org/about/,9036,0,260
1569427985382,9036,LifeChargerAbout-0,301,Moved Permanently,Users 1-18,text,true,,952,124,7,7,http://lifecharger.org/about,9036,0,260
1569427994418,7916,LifeChargerAbout-1,200,OK,Users 1-18,text,true,,36037,125,7,7,http://lifecharger.org/about/,7033,0,269
1569427984327,18272,LifeChargerAbout,200,OK,Users 1-13,text,true,,37001,249,6,6,http://lifecharger.org/about/,10022,0,266
1569427984327,10022,LifeChargerAbout-0,301,Moved Permanently,Users 1-13,text,true,,971,124,6,6,http://lifecharger.org/about,10022,0,266
1569427994348,8251,LifeChargerAbout-1,200,OK,Users 1-13,text,true,,36030,125,6,6,http://lifecharger.org/about/,7975,0,272
1569427981323,21307,LifeChargerAbout,200,OK,Users 1-10,text,true,,37001,249,5,5,http://lifecharger.org/about/,13017,0,263
1569427981323,13017,LifeChargerAbout-0,301,Moved Permanently,Users 1-10,text,true,,971,124,5,5,http://lifecharger.org/about,13017,0,263
1569427994339,8291,LifeChargerAbout-1,200,OK,Users 1-10,text,true,,36030,125,5,5,http://lifecharger.org/about/,8024,0,265
1569427983790,18943,LifeChargerAbout,200,OK,Users 1-15,text,true,,36989,249,4,4,http://lifecharger.org/about/,11566,0,273
1569427983790,11566,LifeChargerAbout-0,301,Moved Permanently,Users 1-15,text,true,,952,124,4,4,http://lifecharger.org/about,11566,0,273
1569427995355,7378,LifeChargerAbout-1,200,OK,Users 1-15,text,true,,36037,125,4,4,http://lifecharger.org/about/,7101,0,276
1569427987366,15400,LifeChargerAbout,200,OK,Users 1-20,text,true,,36982,249,3,3,http://lifecharger.org/about/,9000,0,271
1569427987366,9000,LifeChargerAbout-0,301,Moved Permanently,Users 1-20,text,true,,952,124,3,3,http://lifecharger.org/about,9000,0,271
1569427996366,6400,LifeChargerAbout-1,200,OK,Users 1-20,text,true,,36030,125,3,3,http://lifecharger.org/about/,6127,0,281
1569427986380,16469,LifeChargerAbout,200,OK,Users 1-17,text,true,,36989,249,2,2,http://lifecharger.org/about/,10906,0,270
1569427986380,10906,LifeChargerAbout-0,301,Moved Permanently,Users 1-17,text,true,,952,124,2,2,http://lifecharger.org/about,10906,0,270
1569427997287,5562,LifeChargerAbout-1,200,OK,Users 1-17,text,true,,36037,125,2,2,http://lifecharger.org/about/,5278,0,281
1569427988365,14525,LifeChargerAbout,200,OK,Users 1-19,text,true,,36982,249,1,1,http://lifecharger.org/about/,8916,0,266
1569427988365,8916,LifeChargerAbout-0,301,Moved Permanently,Users 1-19,text,true,,952,124,1,1,http://lifecharger.org/about,8916,0,266
1569427997282,5608,LifeChargerAbout-1,200,OK,Users 1-19,text,true,,36030,125,1,1,http://lifecharger.org/about/,5341,0,267
